GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SUM_TIME_PLAYED
Lineups,-203903-1628404-1628969-1630574-1642278-,J. Clarkson - J. Hart - M. Bridges - A. Hukporti - T. Kolek,1610612752,NYK,2,1,1,0.5,2.0,77.3,75.0,163.9,133.3,-86.6,-58.3,0.0,0.0,0.0,1.0,0.0,0.5,0.25,0.333,0.387,67.4,74.67,62.22,4,-1.5,140,163,270,351,326,377,441,465,396,258,396,1,441,259,479,384,395,579,579,6750
Lineups,-203903-1628404-1628969-1629011-1642278-,J. Clarkson - J. Hart - M. Bridges - M. Robinson - T. Kolek,1610612752,NYK,1,0,1,0.0,2.0,100.0,100.0,143.4,140.0,-43.4,-40.0,0.5,0.5,16.7,0.0,0.667,0.5,0.4,0.833,0.833,101.6,102.86,85.71,5,0.348,243,442,270,442,316,268,467,430,283,229,243,331,296,259,551,72,79,331,374,7000
Lineups,-203903-1628404-1629011-1629013-1642278-,J. Clarkson - J. Hart - M. Robinson - L. Shamet - T. Kolek,1610612752,NYK,1,1,0,1.0,2.0,131.6,140.0,200.0,200.0,-68.4,-60.0,0.5,0.5,12.5,1.0,0.0,0.667,0.4,0.5,0.658,99.4,96.0,80.0,5,0.414,243,163,1,1,326,111,538,467,283,229,335,1,441,103,551,259,172,438,347,6750
Lineups,-203903-1628404-1629011-1642278-1642885-,J. Clarkson - J. Hart - M. Robinson - T. Kolek - M. Diawara,1610612752,NYK,2,0,2,0.0,2.0,102.5,83.3,83.3,83.3,19.1,0.0,1.0,1.0,12.5,0.333,0.75,0.571,0.167,0.375,0.512,105.9,116.76,97.3,6,0.524,140,442,499,442,301,357,206,249,1,151,335,206,237,198,393,363,311,169,278,7400
Lineups,-203903-1626157-1627824-1628404-1642278-,J. Clarkson - K. Towns - G. Yabusele - J. Hart - T. Kolek,1610612752,NYK,1,1,0,1.0,2.0,66.7,50.0,40.0,50.0,26.7,0.0,1.0,1.0,20.0,0.0,0.5,0.333,0.25,0.5,0.5,98.5,98.46,82.05,4,0.75,243,163,1,1,355,431,108,249,1,151,161,331,378,414,479,259,319,409,143,5850
Lineups,-203903-1626157-1627824-1629013-1630540-,J. Clarkson - K. Towns - G. Yabusele - L. Shamet - M. McBride,1610612752,NYK,1,1,0,1.0,2.0,61.5,60.0,128.9,125.0,-67.4,-65.0,1.0,0.0,16.7,0.0,1.0,0.25,0.0,0.25,0.307,109.7,112.7,93.91,5,0.167,243,163,1,1,358,420,412,473,1,258,243,331,1,461,1,416,432,195,432,5750
Lineups,-203903-1626157-1627824-1630540-1642885-,J. Clarkson - K. Towns - G. Yabusele - M. McBride - M. Diawara,1610612752,NYK,1,1,0,1.0,2.0,128.9,125.0,106.4,100.0,22.5,25.0,0.5,0.0,20.0,0.0,0.0,0.0,0.0,0.667,0.644,103.8,108.68,90.57,4,0.7,243,163,1,1,375,166,252,174,283,258,161,331,441,485,1,134,178,241,173,5300
Lineups,-203903-1626157-1627824-1630540-1642278-,J. Clarkson - K. Towns - G. Yabusele - M. McBride - T. Kolek,1610612752,NYK,1,1,0,1.0,2.0,100.0,75.0,180.4,175.0,-80.4,-100.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.5,0.5,103.2,120.0,100.0,4,0.167,243,163,1,1,383,377,523,506,1,258,161,331,441,485,1,259,319,140,432,4800
Lineups,-203903-1626157-1627824-1628384-1628973-,J. Clarkson - K. Towns - G. Yabusele - O. Anunoby - J. Brunson,1610612752,NYK,2,1,1,0.5,2.0,119.0,116.7,206.2,160.0,-87.1,-43.3,0.5,1.0,14.3,0.0,1.0,0.5,0.167,0.625,0.717,96.3,108.49,90.41,6,0.345,140,163,270,351,305,214,504,441,283,151,301,331,1,259,393,165,128,244,377,7300
Lineups,-203903-1626157-1628973-1629011-1642885-,J. Clarkson - K. Towns - J. Brunson - M. Robinson - M. Diawara,1610612752,NYK,1,0,1,0.0,2.0,145.3,166.7,206.2,200.0,-60.8,-33.3,0.5,0.0,20.0,0.5,0.0,0.333,0.0,0.5,0.563,108.7,103.92,86.6,3,0.25,243,442,270,442,382,64,538,417,283,258,161,92,441,414,1,259,270,315,415,4850
