GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SUM_TIME_PLAYED
Lineups,-1628384-1628404-1628969-1628973-1630574-,O. Anunoby - J. Hart - M. Bridges - J. Brunson - A. Hukporti,1610612752,NYK,1,1,0,1.0,2.0,230.8,240.0,150.0,150.0,80.8,90.0,0.333,0.0,14.3,1.0,1.0,1.0,0.0,1.0,0.968,114.9,112.4,93.67,5,0.758,48,41,1,1,67,1,97,13,67,51,53,1,1,1,1,2,10,39,37,5765
Lineups,-1628384-1628404-1628969-1628973-1630540-,O. Anunoby - J. Hart - M. Bridges - J. Brunson - M. McBride,1610612752,NYK,4,3,1,0.75,2.0,100.0,75.0,69.4,66.7,30.6,8.3,1.0,0.0,14.3,0.5,0.5,0.5,0.0,0.3,0.3,104.1,118.81,99.01,4,0.333,7,10,84,90,64,77,32,60,1,51,53,22,75,57,1,82,83,33,77,6060
Lineups,-1628384-1628969-1629011-1630540-1630631-,O. Anunoby - M. Bridges - M. Robinson - M. McBride - J. Alvarado,1610612752,NYK,1,0,1,0.0,2.0,0.0,0.0,133.3,133.3,-133.3,-133.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,80.0,80.0,66.67,2,-1.0,48,102,84,102,74,87,87,102,76,51,76,64,87,93,106,85,87,103,107,4500
Lineups,-1628384-1629011-1629013-1630540-1630631-,O. Anunoby - M. Robinson - L. Shamet - M. McBride - J. Alvarado,1610612752,NYK,1,0,1,0.0,2.0,66.7,66.7,51.5,50.0,15.1,16.7,0.0,0.0,0.0,0.0,0.4,0.333,0.333,0.5,0.5,90.1,91.64,76.36,3,1.0,48,102,84,102,69,78,24,48,76,51,76,64,80,84,97,56,67,96,14,5500
Lineups,-203903-1630574-1630631-1642278-1642885-,J. Clarkson - A. Hukporti - J. Alvarado - T. Kolek - M. Diawara,1610612752,NYK,1,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.6,0.0,0.0,0.0,106.7,133.33,111.11,2,1.0,48,41,1,1,85,87,1,63,76,51,76,22,1,42,1,85,87,18,14,2700
Lineups,-203903-1628404-1628973-1630540-1630574-,J. Clarkson - J. Hart - J. Brunson - M. McBride - A. Hukporti,1610612752,NYK,1,1,0,1.0,1.0,144.9,133.3,300.0,300.0,-155.1,-166.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.725,81.6,85.71,71.43,3,0.333,48,41,1,1,77,28,108,104,76,51,76,64,87,93,1,85,29,99,77,4200
Lineups,-203903-1626157-1628973-1629013-1630540-,J. Clarkson - K. Towns - J. Brunson - L. Shamet - M. McBride,1610612752,NYK,2,2,0,1.0,1.0,166.7,166.7,243.1,175.0,-76.4,-8.3,0.5,0.0,25.0,0.0,0.0,0.0,0.0,0.833,0.833,122.2,145.45,121.21,3,0.364,24,22,1,1,80,14,103,82,49,51,13,64,87,93,1,13,16,14,76,3465
Lineups,-203903-1626157-1628969-1628973-1629013-,J. Clarkson - K. Towns - M. Bridges - J. Brunson - L. Shamet,1610612752,NYK,1,1,0,1.0,1.0,0.0,0.0,163.9,200.0,-163.9,-200.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,165.1,144.0,120.0,1,-0.222,48,41,1,1,95,87,104,106,76,51,76,64,1,57,1,85,87,15,104,1500
Lineups,-203903-1626157-1628969-1628973-1630540-,J. Clarkson - K. Towns - M. Bridges - J. Brunson - M. McBride,1610612752,NYK,1,1,0,1.0,1.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,86.4,115.2,96.0,2,1.0,48,41,1,1,88,55,1,8,76,51,76,1,1,1,106,56,67,37,14,2500
Lineups,-203903-1626157-1628969-1629011-1630631-,J. Clarkson - K. Towns - M. Bridges - M. Robinson - J. Alvarado,1610612752,NYK,1,1,0,1.0,1.0,34.7,33.3,66.7,66.7,-31.9,-33.3,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.174,95.1,97.08,80.9,3,-0.667,48,41,1,1,75,86,32,88,76,51,76,64,1,57,1,85,86,72,106,4450
