index,group_name,def_rating,def_rating,min,min,net_rating,net_rating,off_rating,off_rating,net_rating_delta,off_rating_delta,def_rating_delta,minutes_delta
,,Playoffs,Regular Season,Playoffs,Regular Season,Playoffs,Regular Season,Playoffs,Regular Season,,,,
0,J. Hart - M. Bridges - J. Brunson - M. Robinson - M. McBride,116.3,94.6,22.0,41.0,14.0,27.7,130.2,122.2,-13.7,7.999999999999986,21.700000000000003,-19.0
1,K. Towns - J. Hart - M. Bridges - J. Brunson - L. Shamet,63.2,111.0,10.0,84.0,65.4,0.0,128.6,111.0,65.4,17.599999999999994,-47.8,-74.0
2,K. Towns - J. Hart - M. Bridges - J. Brunson - M. McBride,111.3,116.6,32.0,123.0,9.3,16.3,120.6,132.9,-7.0,-12.300000000000011,-5.299999999999997,-91.0
3,K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Brunson,108.9,112.8,205.0,541.0,9.9,2.3,118.8,115.0,7.6000000000000005,3.799999999999997,-3.8999999999999915,-336.0
4,K. Towns - O. Anunoby - M. Bridges - J. Brunson - L. Shamet,61.5,109.0,21.0,119.0,101.3,-0.6,162.8,108.4,101.89999999999999,54.400000000000006,-47.5,-98.0
5,O. Anunoby - J. Hart - M. Bridges - J. Brunson - M. Robinson,109.4,109.8,13.0,70.0,-12.4,24.0,97.0,133.8,-36.4,-36.80000000000001,-0.3999999999999915,-57.0
